x,y,p,tv,av,rv,sv,dswirl-velocity-dy
 6.554999853E-02, 5.000000000E-02,-8.14E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.40E+00
 6.569999853E-02, 5.000000000E-02,-8.18E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.39E+00
 6.584999853E-02, 5.000000000E-02,-8.24E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.36E+00
 6.599999852E-02, 5.000000000E-02,-8.33E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.33E+00
 6.614999852E-02, 5.000000000E-02,-8.44E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.29E+00
 6.629999852E-02, 5.000000000E-02,-8.57E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.25E+00
 6.644999851E-02, 5.000000000E-02,-8.71E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.19E+00
 6.659999851E-02, 5.000000000E-02,-8.89E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.13E+00
 6.674999851E-02, 5.000000000E-02,-9.08E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-8.06E+00
 6.689999850E-02, 5.000000000E-02,-9.29E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.98E+00
 6.704999850E-02, 5.000000000E-02,-9.52E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.89E+00
 6.719999850E-02, 5.000000000E-02,-9.77E-03, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.79E+00
 6.734999849E-02, 5.000000000E-02,-1.00E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.68E+00
 6.749999849E-02, 5.000000000E-02,-1.03E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.57E+00
 6.764999849E-02, 5.000000000E-02,-1.06E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.44E+00
 6.779999848E-02, 5.000000000E-02,-1.10E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.31E+00
 6.794999848E-02, 5.000000000E-02,-1.13E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.16E+00
 6.809999848E-02, 5.000000000E-02,-1.16E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-7.01E+00
 6.824999847E-02, 5.000000000E-02,-1.20E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.85E+00
 6.839999847E-02, 5.000000000E-02,-1.24E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.68E+00
 6.854999847E-02, 5.000000000E-02,-1.27E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.50E+00
 6.869999846E-02, 5.000000000E-02,-1.31E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.31E+00
 6.884999846E-02, 5.000000000E-02,-1.35E-02, 2.500000000E-02, 0.000000000E+00, 0.000000000E+00, 2.500000000E-02,-6.12E+00
